2025-04-04 15:34:05, 0.522554
2025-04-04 16:21:44, 0.529815
2025-04-05 09:37:30, 0.648491
2025-04-05 09:52:19, 0.650064
2025-04-05 09:54:32, 0.649039
2025-04-05 10:15:14, 0.655753
2025-04-05 10:33:55, 0.672693
2025-04-05 16:08:07, 0.623393
2025-04-05 20:45:50, 0.59476
2025-04-05 20:16:24, 0.571655, 2025-04-05
2025-04-05 21:43:14, 0.586018, 2025-04-05
2025-04-05 21:45:01, 0.588755, 2025-04-05
2025-04-05 21:50:01, 0.578637, 2025-04-05
2025-04-05 21:55:01, 0.580812, 2025-04-05
2025-04-05 22:00:01, 0.579915, 2025-04-05
2025-04-05 22:05:02, 0.577504, 2025-04-05
2025-04-05 22:10:01, 0.584034, 2025-04-05
2025-04-05 22:15:01, 0.580532, 2025-04-05
2025-04-05 22:20:01, 0.580376, 2025-04-05
2025-04-05 22:25:01, 0.578805, 2025-04-05
2025-04-05 22:30:01, 0.580921, 2025-04-05
2025-04-05 22:35:01, 0.583287, 2025-04-05
2025-04-05 22:40:01, 0.584238, 2025-04-05
2025-04-05 22:45:02, 0.586566, 2025-04-05
2025-04-05 22:50:01, 0.59233, 2025-04-05
2025-04-05 22:55:01, 0.596485, 2025-04-05
2025-04-05 23:00:01, 0.593845, 2025-04-05
2025-04-05 23:05:01, 0.591336, 2025-04-05
2025-04-05 23:10:01, 0.600343, 2025-04-05
2025-04-05 23:15:01, 0.604137, 2025-04-05
2025-04-05 23:20:01, 0.604711, 2025-04-05
2025-04-05 23:25:02, 0.613613, 2025-04-05
2025-04-05 23:30:01, 0.608622, 2025-04-05
2025-04-05 23:35:01, 0.607492, 2025-04-05
2025-04-05 23:40:01, 0.609537, 2025-04-05
2025-04-05 23:45:01, 0.605994, 2025-04-05
2025-04-05 23:50:01, 0.601078, 2025-04-05
2025-04-05 23:55:01, 0.61364, 2025-04-05
2025-04-06 00:00:01, 0.623921, 2025-04-06
2025-04-06 00:05:02, 0.620526, 2025-04-06
2025-04-06 00:10:01, 0.646745, 2025-04-06
2025-04-06 00:15:01, 0.646569, 2025-04-06
2025-04-06 00:20:01, 0.640457, 2025-04-06
2025-04-06 00:25:01, 0.644625, 2025-04-06
